gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity,,,,,
2022-02-05 03:44:36 +07,2022-02-05 03:44:36 +07,0,0.708,1129912730,25,96,1009,0,0,0.03,0,0,0,1,3.9,6.9,0,0,0,0,,,,,
2022-02-05 03:54:36 +07,2022-02-05 03:54:36 +07,0,0.245,0,24,96,1009,0,0,0.03,0,0,0,1,4.2,7.1,0,0,0,0,,,,,
2022-02-05 04:04:36 +07,2022-02-05 04:04:36 +07,0,0.633,1132796314,24,96,1009,0,0,0.04,0,0,0,1,4,6.9,0,0,0,0,,,,,
2022-02-05 04:14:36 +07,2022-02-05 04:14:36 +07,0,0.365,1131675648,25,97,1009,0,0,0.03,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 04:24:36 +07,2022-02-05 04:24:36 +07,0,0.252,0,25,97,1009,0,0,0.04,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 04:34:36 +07,2022-02-05 04:34:36 +07,0,0.341,1132357222,25,96,1009,0,0,0.04,0,0,0,1,4,7.1,0,0,0,0,,,,,
2022-02-05 04:44:36 +07,2022-02-05 04:44:36 +07,0,0.716,1132593152,24,96,1009,0,0,0.04,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-05 04:54:36 +07,2022-02-05 04:54:36 +07,0,0.298,0,25,96,1009,0,0,0.04,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 05:04:36 +07,2022-02-05 05:04:36 +07,0,0.298,0,25,96,1009,0,0,0.04,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 05:14:36 +07,2022-02-05 05:14:36 +07,0,0.52,1133264896,25,97,1009,0,0,0.04,0,0,0,1,4,7.1,0,0,0,0,,,,,
2022-02-05 05:24:36 +07,2022-02-05 05:24:36 +07,0,0.259,0,25,97,1009,0,0,0.03,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 05:34:36 +07,2022-02-05 05:34:36 +07,0,0.26,0,25,97,1009,0,0,0.04,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-05 05:44:36 +07,2022-02-05 05:44:36 +07,0,0.195,0,24,97,1010,0,0,0.03,0,0,0,1,4.2,6.8,0,0,0,0,,,,,
2022-02-05 05:54:36 +07,2022-02-05 05:54:36 +07,0,0.134,0,24,97,1010,0,0,0.03,0,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-05 06:04:40 +07,2022-02-05 06:04:40 +07,0,0.283,0,24,97,1010,0,0,0.03,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-05 06:14:36 +07,2022-02-05 06:14:36 +07,0,0.264,0,25,97,1010,0,0,0.03,0,0,0,1,4,7,0,0,0,0,,,,,
2022-02-05 06:24:36 +07,2022-02-05 06:24:36 +07,0,0.197,0,25,97,1010,0,0,0.03,0,0,0,1,4.3,6.9,0,0,0,0,,,,,
2022-02-05 06:34:36 +07,2022-02-05 06:34:36 +07,0,0.458,1132901171,25,96,1010,71,0,0.05,0,0,0,1,3.9,7.2,0,0,0,0,,,,,
2022-02-05 06:44:36 +07,2022-02-05 06:44:36 +07,0,1.372,1121019494,25,93,1010,303,0,0.14,0,0,0,1,4.2,7.1,0,0,0,0,,,,,
2022-02-05 06:54:36 +07,2022-02-05 06:54:36 +07,0,0.236,0,25,92,1010,1347,0,0.44,0,0,0,1,4,6.9,0,0,0,0,,,,,
2022-02-05 07:04:36 +07,2022-02-05 07:04:36 +07,0,1.945,1134831206,25,91,1011,3070,0,1.05,0.01,0,0,1,3.7,6.9,0,0,0,0,,,,,
2022-02-05 07:14:36 +07,2022-02-05 07:14:36 +07,0,0.013,0,25,92,1011,4765,0,1.63,0.02,0,0,1,4,7.2,0,0,0,0,,,,,
2022-02-05 14:20:25 +07,2022-02-05 14:20:25 +07,0,0.333,1128071168,31,65,1010,41885,0,21.190001,0.56,0,0,1,4,6.9,0,0,0,0,,,,,
2022-02-05 14:30:25 +07,2022-02-05 14:30:25 +07,0,0.347,1133356646,31,65,1010,95327,0,31.74,0.82,0,0,1,4.2,6.8,0,0,0,0,,,,,
2022-02-05 14:40:25 +07,2022-02-05 14:40:25 +07,0,1.265,1108502118,31,65,1010,98799,0,31.360001,0.81,0,0,1,3.8,6.9,0,0,0,0,,,,,
2022-02-05 14:50:25 +07,2022-02-05 14:50:25 +07,0,2.907,1112565350,32,63,1010,63126,0,25.6,0.64,0,0,1,4.1,6.2,0,0,0,0,,,,,
2022-02-05 15:00:25 +07,2022-02-05 15:00:25 +07,0,1.921,1112879923,32,63,1010,91945,0,28.59,0.71,0,0,1,3.9,6.8,0,0,0,0,,,,,
2022-02-05 15:10:25 +07,2022-02-05 15:10:25 +07,0,0.937,1110992486,32,63,1010,34441,0,16.85,0.4,0,0,1,3.8,6.9,0,0,0,0,,,,,
2022-02-05 15:20:25 +07,2022-02-05 15:20:25 +07,0,0.868,1090728755,32,64,1009,40367,0,16.76,0.39,0,0,1,4.2,6.5,0,0,0,0,,,,,
2022-02-05 15:30:25 +07,2022-02-05 15:30:25 +07,0,2.289,1114059571,31,65,1009,34102,0,13.34,0.31,0,0,1,3.8,7,0,0,0,0,,,,,
2022-02-05 15:40:25 +07,2022-02-05 15:40:25 +07,0,2.8,1111778918,31,66,1009,58949,0,18.389999,0.42,0,0,1,4,7.2,0,0,0,0,,,,,
2022-02-05 15:50:25 +07,2022-02-05 15:50:25 +07,0,1.038,1118201446,31,65,1009,42224,0,15.76,0.34,0,0,1,4.1,7,0,0,0,0,,,,,
2022-02-05 16:00:25 +07,2022-02-05 16:00:25 +07,0,2.154,1119145165,31,66,1009,27935,0,12.72,0.27,0,0,1,4.1,7.2,0,0,0,0,,,,,
2022-02-05 16:10:25 +07,2022-02-05 16:10:25 +07,0,1.545,1108030259,31,67,1009,26855,0,11.17,0.23,0,0,1,4,6.9,0,0,0,0,,,,,
